Column Name	Data Type		Nullable	Default	Primary Key
FLIGHT_NO	VARCHAR2(30)	No	 -	1
BUS_SEATS_AVL	VARCHAR2(30)	Yes	 -	 -
EX_SEATS_AVL	VARCHAR2(30)	Yes	 -	 -
ECO_SEATS_AVL	VARCHAR2(30)	Yes	 -	 -
FLIGHT_NAME	VARCHAR2(30)	Yes	 -	 -
AIRCRAFT_NAME	VARCHAR2(30)	Yes	 -	 -
ORIGIN		VARCHAR2(30)	Yes	 -	 -
DESTINATION	VARCHAR2(30)	Yes	 -	 -



BUS_SEATS_AVL	EX_SEATS_AVL	ECO_SEATS_AVL	FLIGHT_NO	FLIGHT_NAME	AIRCRAFT_NAME	ORIGIN				DESTINATION
30		55		65		IND008		GO AIR		ACME		UTTAR PRADESH			KERALA
30		50		70		IND013		AIR INDIA		BOEING		GOA				ANDAMAN AND NICOBAR ISLANDS
30		55		65		IND001		AIR INDIA		ACME		ANDAMAN AND NICOBAR ISLANDS	UTTAR PRADESH
30		50		70		IND005		AIR INDIA		BOEING		UTTAR PRADESH			ANDAMAN AND NICOBAR ISLANDS
50		50		50		IND007		KINGFISHER	AIRBUS		UTTAR PRADESH			GOA
50		50		50		IND018		GO AIR		AIRBUS		KERALA				UTTAR PRADESH
30		50		70		IND002		AIR INDIA		BOEING		ANDAMAN AND NICOBAR ISLANDS	DELHI
50		50		50		IND004		SPICE JET	AIRBUS		ANDAMAN AND NICOBAR ISLANDS	KERALA
50		50		50		IND015		GO AIR		AIRBUS		GOA				DELHI
30		55		65		IND017		SPICE JET	ACME		KERALA				ANDAMAN AND NICOBAR ISLANDS
50		50		50		IND003		GO AIR		AIRBUS		ANDAMAN AND NICOBAR ISLANDS	GOA
30		55		65		IND006		GO AIR		ACME		UTTAR PRADESH			DELHI
30		50		70		IND009		KINGFISHER	BOEING		DELHI				ANDAMAN AND NICOBAR ISLANDS
30		55		65		IND010		SPICE JET	ACME		DELHI				UTTAR PRADESH
30		55		65		IND011		AIR INDIA		ACME		DELHI				GOA
50		50		50		IND012		SPICE JET	AIRBUS		DELHI				KERALA
30		55		65		IND014		GO AIR		ACME		GOA				UTTAR PRADESH
30		50		70		IND016		KINGFISHER	BOIENG		GOA				KERALA
30		50		70		IND019		AIR INDIA		BOEING		KERALA				DELHI
50		50		50		IND020		KINGFISHER	AIRBUS		KERALA				GOA
