Column Name		Data Type		Nullable	Default	Primary Key
FLIGHT_NO		VARCHAR2(100)	No	 -	1
DATE_OF_JOURNEY	VARCHAR2(20)	No	 -	2
ARRIVAL_TIME		VARCHAR2(20)	No	 -	 -
DEPARTURE_TIME		VARCHAR2(20)	No	 -	 -


FLIGHT_NO	DATE_OF_JOURNEY	ARRIVAL_TIME	DEPARTURE_TIME
IND001	18 Apr, 2014	23:00	23:40
IND002	20 Apr, 2014	20:00	20:45
IND002	26 Apr, 2014	20:00	20:45
IND003	24 Apr, 2014	16:05	16:50
IND006	22 Apr, 2014	15:05	15:45
IND008	27 Apr, 2014	13:15	13:45
IND010	18 Apr, 2014	17:20	17:59
IND010	29 Apr, 2014	17:05	17:30
IND014	25 Apr, 2014	15:00	15:45
IND015	27 Apr, 2014	13:35	14:00
IND017	19 Apr, 2014	22:00	22:30
IND018	25 Apr, 2014	07:00	07:40
INT008	24 Apr, 2014	19:05	19:44
INT009	28 Apr, 2014	01:50	02:30
INT010	27 Apr, 2014	03:45	04:15
INT015	29 Apr, 2014	04:00	04:40
INT018	23 Apr, 2014	09:55	10:30
IND001	22 Apr, 2014	23:00	23:40
IND003	20 Apr, 2014	16:05	16:50
IND005	23 Apr, 2014	05:55	0630
IND005	26 Apr, 2014	11:10	12:00
IND009	22 Apr, 2014	23:59	00:30
IND011	23 Apr, 2014	12:00	12:47
IND012	29 Apr, 2014	18:10	19:00
IND013	20 Apr, 2014	10:12	10:35
IND016	29 Apr, 2014	19:00	20:00
IND019	26 Apr, 2014	02:40	03:10
IND020	29 Apr, 2014	12:00	12:40
INT001	18 Apr, 2014	04:00	04:40
INT003	20 Apr, 2014	06:10	06:45
INT012	24 Apr, 2014	06:25	07:05
INT014	25 Apr, 2014	20:30	21:10
INT016	18 Apr, 2014	00:10	00:45
INT017	28 Apr, 2014	18:05	18:45
INT020	24 Apr, 2014	11:10	11:50
IND007	26 Apr, 2014	21:35	22:14
IND017	27 Apr, 2014	03:00	03:35
INT005	22 Apr, 2014	09:30	10:10
INT007	23 Apr, 2014	23:33	23:59
IND004	19 Apr, 2014	01:30	02:05
IND004	23 Apr, 2014	01:30	02:05
IND005	27 Apr, 2014	11:10	12:00
IND006	18 Apr, 2014	15:05	15:45
IND007	23 Apr, 2014	15:30	16:30
IND008	29 Apr, 2014	13:15	13:45
IND009	28 Apr, 2014	23:11	23:55
IND012	26 Apr, 2014	05:30	05:55
IND013	19 Apr, 2014	02:10	02:35
IND014	28 Apr, 2014	00:20	00:50
IND015	29 Apr, 2014	20:00	20:40
IND016	21 Apr, 2014	04:20	04:50
INT002	19 Apr, 2014	03:00	03:40
INT004	21 Apr, 2014	14:20	14:50
INT006	22 Apr, 2014	21:00	21:40
INT011	23 Apr, 2014	22:10	22:40
INT013	26 Apr, 2014	13:05	13:30
