Column Name	Data Type		Nullable	Default	Primary Key
FLIGHT_NO	VARCHAR2(30)	No	 -	1
FLIGHT_NAME	VARCHAR2(30)	Yes	 -	 -
AIRCRAFT_NAME	VARCHAR2(30)	Yes	 -	 -
ORIGIN		VARCHAR2(30)	Yes	 -	 -
DESTINATION	VARCHAR2(30)	Yes	 -	 -
BUS_SEATS_AVL	NUMBER	Yes	 -	 -
EX_SEATS_AVL	NUMBER	Yes	 -	 -
ECO_SEATS_AVL	NUMBER	Yes	 -	 -




FLIGHT_NO	FLIGHT_NAME	AIRCRAFT_NAME	ORIGIN	DESTINATION	BUS_SEATS_AVL	EX_SEATS_AVL	ECO_SEATS_AVL
INT001	SPICE JET	SADLER	INDIA	AUSTRALIA	70	40	80
INT004	KINGFISHER	SADLER	INDIA	FRANCE	70	40	80
INT014	GO AIR	SAFE-WINGS	HONG KONG	AUSTRALIA	80	70	100
INT016	AIR INDIA	SAFE-WINGS	HONG KONG	FRANCE	80	70	100
INT002	AIR INDIA	SADLER	INDIA	BRAZIL	70	40	80
INT010	SPICE JET	SADLER	BRAZIL	AUSTRALIA	70	40	80
INT011	KINGFISHER	SAFE-WINGS	BRAZIL	HONG KONG	80	70	100
INT006	SPICE JET	NAGLER	AUSTRALIA	BRAZIL	40	60	40
INT008	GO AIR	SADLER	AUSTRALIA	FRANCE	70	40	80
INT009	KINGFISHER	NAGLER	BRAZIL	INDIA	40	60	40
INT012	GO AIR	SADLER	BRAZIL	FRANCE	70	40	80
INT017	SPICE JET	SAFE-WINGS	FRANCE	INDIA	80	70	100
INT003	GO AIR	NAGLER	INDIA	HONG KONG	40	60	40
INT005	AIR INDIA	SAFE-WINGS	AUSTRALIA	INDIA	80	70	100
INT007	AIR INDIA	SAFE-WINGS	AUSTRALIA	HONG KONG	80	70	100
INT013	AIR INDIA	NAGLER	HONG KONG	INDIA	40	60	40
INT015	SPICE JET	SADLER	HONG KONG	BRAZIL	70	40	80
INT018	KINGFISHER	NAGLER	FRANCE	AUSTRALIA	40	60	40
INT019	GO AIR	SAFE-WINGS	FRANCE	BRAZIL	80	70	100
INT020	SPICE JET	SADLER	FRANCE	HONG KONG	70	40	80
